title,time,comment_count,comment,recommend,unrecommend
'수조 원 비트코인' 쪼개 풀며 시장 쥐락펴락…큰손된 독일경찰청,2024-07-10 06:30:00,25,당장 급해서 미래를 끌어 쓰는 형국! 나도 주식을 좀 팔아야 하나.,0,0
'수조 원 비트코인' 쪼개 풀며 시장 쥐락펴락…큰손된 독일경찰청,2024-07-10 06:30:00,25,수조원 풀린거로 이렇게 떨어지다니 ㅋㅋ 일장춘몽이군 ㅋ. 미국주식이 짱입니다,0,0
'수조 원 비트코인' 쪼개 풀며 시장 쥐락펴락…큰손된 독일경찰청,2024-07-10 06:30:00,25,자본주의의 숨은 강자 검은손,0,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,181,,,
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,181,반대로 히야긋다~~~,0,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,181,"떡락장 올 것 -> 난 살 것이다, 3억간다 -> 제발 내 물량 받아라",0,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,181,최악의 폭락이 오길 바란다,0,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,181,기요사키가 예언자는 아니잖아. 왜이리 호들갑들인지 ㅉㅉ,0,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,181,비트코인이 4억이 안갔으니 저사람말은 더이상 신뢰할수가 없는거네!,1,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,181,기사보고 영혼까지 끌어모아 풀매수가즈아!!,0,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,181,이제 사야할때군,0,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,181,언제?????????????????????????? 그리고 손모가지라도 최소한 걸고 말해라,2,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,181,이제 사자,0,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,181,"4억 가도, 0 원 가도 이상 할게 없다",0,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,181,오르겟네,1,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,181,근데 저런 넘 말듣고 기사쓰는 니들도 문제다 ~~ 누굴욕하냐? 똑같은 것들인데,1,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,181,올라가는데? 이 양반 말의 반대로 하면 수익율 오짐,4,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,181,오른만큼 또 암흑기좀 거쳐야지 ㅋㅋㅋ 계속 갈수가 있나?,1,0
"비트코인 4억 간다더니…부자아빠 ""최악 폭락장 온다"" 경고",2024-07-10 06:21:12,181,멍멍멍,0,0
"비트코인, 저가 매수세에 8200만원 회복",2024-07-10 09:30:27,3,망한다는 모지리들.....다시 나와봐!!!!ㅋㅋㅋㅋㅋㅋ,8,2
"비트코인, 저가 매수세에 8200만원 회복",2024-07-10 09:30:27,3,언론들이. 비트코인에 목숨거는 이유가. 뭐지?,0,0
"비트코인, 저가 매수세에 8200만원 회복",2024-07-10 09:30:27,3,독일 마곡 미국 물량 아직 안털었습니다 어려운장입니다.오를수도 내릴수도 완전 그래프게임,0,0
"대선 다가오는데…""비트코인 내년 2억원 돌파""",2024-07-10 10:00:48,15,안팔고 들고있다고 마냥 오르는게 아님 살 사람이 있어야 오름 비트코인 살 사람은 이미 다 샀움 새로운 호구들은 생겨나지 않음 고로 지금이 꼭지임. 2억은 호구 꼬시기용 미끼임.,15,3
"대선 다가오는데…""비트코인 내년 2억원 돌파""",2024-07-10 10:00:48,15,지난 몇년간 시중에 전세계적으로 돈이 너무 많이 풀려서 어디한곳에 모아놓고 소각작업 해야되는데 코인만큼 좋은곳이 없다 이말인거지?,8,1
"대선 다가오는데…""비트코인 내년 2억원 돌파""",2024-07-10 10:00:48,15,응 사돈의 팔촌까지 돈끌어다가 너나 사세요.,3,1
"대선 다가오는데…""비트코인 내년 2억원 돌파""",2024-07-10 10:00:48,15,쉽게말해 미국정부는 코인을 통해서 인플레를 조정하려고 한다 머리좋은사람들은 벌써탑승하고들있지,1,0
"대선 다가오는데…""비트코인 내년 2억원 돌파""",2024-07-10 10:00:48,15,미국기관이 지금안사고있어도 8000만원 중반임..이제 이달말부터 내년부터 기관들이 꾸준히 매입하면 안오를수가 없다..미국이 참전하면 무조건 우상향하게 기필코 만들고말거다...표때매 고객들 수익때매 미국주식 올리는것처럼,0,0
"대선 다가오는데…""비트코인 내년 2억원 돌파""",2024-07-10 10:00:48,15,근거는?,0,0
"대선 다가오는데…""비트코인 내년 2억원 돌파""",2024-07-10 10:00:48,15,코인 사구 싶어두 언제 또 폭락 할까봐 못사겠어..,0,0
"대선 다가오는데…""비트코인 내년 2억원 돌파""",2024-07-10 10:00:48,15,X소리는 떵이약이다,0,0
"대선 다가오는데…""비트코인 내년 2억원 돌파""",2024-07-10 10:00:48,15,사기쳐도 유분수,0,0
"대선 다가오는데…""비트코인 내년 2억원 돌파""",2024-07-10 10:00:48,15,멀리 안나갑니다 ᆢ,0,0
"대선 다가오는데…""비트코인 내년 2억원 돌파""",2024-07-10 10:00:48,15,내년에 10억 가겄지.. . ㅋㅋㅋㅋ 먼말을 못하겄냐,0,0
"대선 다가오는데…""비트코인 내년 2억원 돌파""",2024-07-10 10:00:48,15,튤립 버블이다. 곧 휴지 된다. 너의 가짜 종이돈이,0,0
"'저가 매수' 비트코인 3% 상승, 5만8000달러 근접",2024-07-10 06:23:15,0,,,
"[단독]금융위, 비트모빅 DEX 거래소 '모빅매니아' 수사 의뢰",2024-07-10 10:18:08,26,,,
"[단독]금융위, 비트모빅 DEX 거래소 '모빅매니아' 수사 의뢰",2024-07-10 10:18:08,26,,,
"[단독]금융위, 비트모빅 DEX 거래소 '모빅매니아' 수사 의뢰",2024-07-10 10:18:08,26,가세연에 걸리면 BTS도 군대 가는데 오태버슨지 오물버슨지 나락 가는건 당연한 수순!,23,7
"[단독]금융위, 비트모빅 DEX 거래소 '모빅매니아' 수사 의뢰",2024-07-10 10:18:08,26,어???가세연에서 몇주전 방송했던 내용이네 역시 가세연,18,2
"[단독]금융위, 비트모빅 DEX 거래소 '모빅매니아' 수사 의뢰",2024-07-10 10:18:08,26,이 사건의 자세한 경위 알려면 가세연으로,15,1
"[단독]금융위, 비트모빅 DEX 거래소 '모빅매니아' 수사 의뢰",2024-07-10 10:18:08,26,가세연에서 방송하는거 봤는데....이번에도 가세연이 옳았던건가 봄,12,0
"[단독]금융위, 비트모빅 DEX 거래소 '모빅매니아' 수사 의뢰",2024-07-10 10:18:08,26,와 자칭 9조 재벌 오태민 교수 사업자 등록도 없이 코인 발행한 거였어요? 가로세로연구소 대단하다. 저런 코인 잘못 사면 패가망신이다.,12,2
"[단독]금융위, 비트모빅 DEX 거래소 '모빅매니아' 수사 의뢰",2024-07-10 10:18:08,26,가세연 충격단독이 앞서갔네.,11,1
"[단독]금융위, 비트모빅 DEX 거래소 '모빅매니아' 수사 의뢰",2024-07-10 10:18:08,26,비트모빅 이슈있으면 자세하고 투명하게 조사해야합니다,10,1
"[단독]금융위, 비트모빅 DEX 거래소 '모빅매니아' 수사 의뢰",2024-07-10 10:18:08,26,"김세의 무서워하는 이유가 바로 이런 거. 성역이 없거든. 여기도 얼마나 깠냐? 마약, 정치권 등등. 편이 없어져서 넘 속상하지만 편짜먹는 거 지첬잖나. 국민 편은 한동훈이 아니라 김세의지.",9,0
"[단독]금융위, 비트모빅 DEX 거래소 '모빅매니아' 수사 의뢰",2024-07-10 10:18:08,26,역시 한 템포 빠른 가세연~^^,9,0
"[단독]금융위, 비트모빅 DEX 거래소 '모빅매니아' 수사 의뢰",2024-07-10 10:18:08,26,역시 가세연이구만!,8,1
"[단독]금융위, 비트모빅 DEX 거래소 '모빅매니아' 수사 의뢰",2024-07-10 10:18:08,26,역쉬~~가세연 충격단독 가세연이 팩트네,7,1
"[단독]금융위, 비트모빅 DEX 거래소 '모빅매니아' 수사 의뢰",2024-07-10 10:18:08,26,비트모빅은 가세연에 이갈겠노,5,0
"[단독]금융위, 비트모빅 DEX 거래소 '모빅매니아' 수사 의뢰",2024-07-10 10:18:08,26,자전거래. 가짜 코인 세상이 어지럽구나 저걸 믿는 인간도 있으니,4,0
"[단독]금융위, 비트모빅 DEX 거래소 '모빅매니아' 수사 의뢰",2024-07-10 10:18:08,26,탈출은 지능순,4,0
"[단독]금융위, 비트모빅 DEX 거래소 '모빅매니아' 수사 의뢰",2024-07-10 10:18:08,26,아직도 사기꾼에 속아 찬양중인 모빅매니아들 정신차리셈 정의를 위해 나서주는 가세연이 참 고맙고 준섹이 성상납도 단독 폭로하는 방송이라 역시 레벨이 다르긴 달라,3,0
"[단독]금융위, 비트모빅 DEX 거래소 '모빅매니아' 수사 의뢰",2024-07-10 10:18:08,26,사기 모빅 자전거래 결국 호구만 죽지 ㅉㅉ,2,0
"[단독]금융위, 비트모빅 DEX 거래소 '모빅매니아' 수사 의뢰",2024-07-10 10:18:08,26,가세연은 50억클럽도 파헤쳐봤나요?,0,0
"[단독]금융위, 비트모빅 DEX 거래소 '모빅매니아' 수사 의뢰",2024-07-10 10:18:08,26,오태민 자기 9조 재벌이라고 자랑하고 다닐때 왠지 솟될거 같드라.,0,0
비트코인 바닥 찍고 반등?… 8300만원까지 회복 성공,2024-07-10 14:00:57,0,,,
"""2억 간다더니"" 비트코인 폭락…코스피 상승에 주식 빚투 급증",2024-07-10 07:52:06,2,더 떨어져라!!!!!!,5,0
"""2억 간다더니"" 비트코인 폭락…코스피 상승에 주식 빚투 급증",2024-07-10 07:52:06,2,이제 좀 살때네,0,0
"회복 조짐 보이는 가상자산 시장… 비트코인, 6만달러 재터치할까",2024-07-10 07:42:11,2,10억 가즈아~,0,0
"회복 조짐 보이는 가상자산 시장… 비트코인, 6만달러 재터치할까",2024-07-10 07:42:11,2,회복이 어디서 그냥 탐욕에 눈디비진 호구시기들 또 한번 우르르 몰린거지.,0,2
"비트코인, 이동평균선 골든크로스 임박 '급등 가능성'",2024-07-10 11:04:07,0,,,
"코인 투자 안전하게…업비트·코인원, 선제적 예치 자산 관리",2024-07-10 06:00:01,0,,,
비트코인 바닥 찍고 반등?… 8300만원까지 회복 성공,2024-07-10 14:00:57,0,,,
"""2억 간다더니"" 비트코인 폭락…코스피 상승에 주식 빚투 급증",2024-07-10 07:52:06,2,더 떨어져라!!!!!!,5,0
"""2억 간다더니"" 비트코인 폭락…코스피 상승에 주식 빚투 급증",2024-07-10 07:52:06,2,이제 좀 살때네,0,0
"회복 조짐 보이는 가상자산 시장… 비트코인, 6만달러 재터치할까",2024-07-10 07:42:11,2,10억 가즈아~,0,0
"회복 조짐 보이는 가상자산 시장… 비트코인, 6만달러 재터치할까",2024-07-10 07:42:11,2,회복이 어디서 그냥 탐욕에 눈디비진 호구시기들 또 한번 우르르 몰린거지.,0,2
